,name,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,race
239,Ruddock,70.42,23.91,0.51,0.71,2.33,2.13,pctwhite
240,Rundle Paul,,,,,,,
241,Rusev,92.11,0.00,0,0.00,7.02,0,pctwhite
242,Ryan,93.33,2.82,0.64,0.42,1.17,1.62,pctwhite
243,Saber,84.04,1.00,4.55,0.00,7.54,2.88,pctwhite
244,Safnuk,,,,,,,
245,Sano,46.98,0,35.88,0,4.20,9.38,pctwhite
246,Saraceni,96.08,0,0,0,2.06,0,pctwhite
247,Saran,46.26,1.18,39.17,0.00,9.25,4.13,pctwhite
248,Sartorius,97.16,0,0,0.00,0,1.55,pctwhite
249,Schmitt,96.82,0.19,0.42,0.32,0.88,1.37,pctwhite
250,Schnabel,97.11,0.00,0.43,0.16,0.89,1.41,pctwhite
251,Schnabel,97.11,0.00,0.43,0.16,0.89,1.41,pctwhite
252,Schroeder,96.74,0.23,0.48,0.39,0.86,1.30,pctwhite
253,Scott,62.60,32.26,0.41,1.15,1.90,1.68,pctwhite
254,Seto,8.95,0,79.65,0,5.19,5.82,pctapi
255,Seungbum,,,,,,,
256,Seyed Zavari,,,,,,,
257,Shadloo,,,,,,,
258,Shah,4.05,1.14,87.80,0.24,5.88,0.89,pctapi
259,Shahriari,88.11,0,4.90,0.00,6.29,0,pctwhite
260,Shamji,,,,,,,
261,Sheehan,96.66,0.20,0.57,0.23,1.01,1.33,pctwhite
262,Shu,4.02,0.53,91.81,0,3.12,0,pctapi
263,Sidhu,4.22,0,82.98,0,7.44,4.71,pctapi
264,Singh,3.51,3.09,74.44,1.01,15.30,2.65,pctapi
265,Singh,3.51,3.09,74.44,1.01,15.30,2.65,pctapi
266,Siu,3.34,0,85.65,0,2.89,7.65,pctapi
267,Skibinski,97.12,0,0.55,0,1.00,1.00,pctwhite
268,Smith,73.35,22.22,0.40,0.85,1.63,1.56,pctwhite
269,Smith,73.35,22.22,0.40,0.85,1.63,1.56,pctwhite
270,Smith,73.35,22.22,0.40,0.85,1.63,1.56,pctwhite
271,Steele,80.39,14.94,0.41,1.08,1.47,1.71,pctwhite
272,Stewin,,,,,,,
273,Stimpfl,,,,,,,
274,Straka,97.21,0,0.34,0,1.03,1.11,pctwhite
275,Strong,69.40,25.19,0.53,1.44,1.73,1.72,pctwhite
276,Sullivan,89.45,6.78,0.46,0.52,1.16,1.63,pctwhite
277,Tannberg,,,,,,,
278,Tarnasky,,,,,,,
279,Teranishi,0,0.00,92.59,0.00,0,3.70,pctapi
280,Thorpe,70.85,24.53,0.52,0.70,1.77,1.62,pctwhite
281,Tildesley,,,,,,,
282,Toering,95.16,0,0,0,0.00,2.02,pctwhite
283,Tomlinson,87.03,8.47,0.52,0.47,1.62,1.90,pctwhite
284,Tonge,52.97,39.83,0,0,2.65,3.60,pctwhite
285,Tran,1.56,0.16,95.61,0.07,1.98,0.62,pctapi
286,Trasolini,,,,,,,
287,Tse,1.88,0,94.75,0,1.57,0.90,pctapi
288,Van Gorkum,,,,,,,
289,Van Ryn,,,,,,,
290,Virk,3.69,0.81,85.12,0.58,8.88,0.92,pctapi
291,Vis,94.70,0.00,1.63,0.00,1.09,2.58,pctwhite
292,Vis,94.70,0.00,1.63,0.00,1.09,2.58,pctwhite
293,Ward,77.79,17.77,0.40,0.83,1.57,1.64,pctwhite
294,Watts,70.81,24.96,0.35,0.73,1.66,1.48,pctwhite
