,Society,Award,Gender,pred_gender
366,Society for Pediatric Radiology,Presidential Recognition Award,1,1
367,Society for Pediatric Radiology,Presidential Recognition Award,1,0
368,Society for Pediatric Radiology,Presidential Recognition Award,1,0
369,Society for Pediatric Radiology,Presidential Recognition Award,2,1
370,Society for Pediatric Radiology,Presidential Recognition Award,2,0
371,Society for Pediatric Radiology,Presidential Recognition Award,1,0
372,Society for Pediatric Radiology,Presidential Recognition Award,2,0
373,Society for Pediatric Radiology,Presidential Recognition Award,1,2
374,Society for Pediatric Radiology,Presidential Recognition Award,2,0
375,Society for Pediatric Radiology,Presidential Recognition Award,1,0
376,Society for Pediatric Radiology,Presidential Recognition Award,1,1
377,Society for Pediatric Radiology,Presidential Recognition Award,1,0
378,Society for Pediatric Radiology,Presidential Recognition Award,1,1
379,Society for Pediatric Radiology,Presidential Recognition Award,1,2
380,Society for Pediatric Radiology,Presidential Recognition Award,2,0
381,Society for Pediatric Radiology,Presidential Recognition Award,1,0
382,Society for Pediatric Radiology,Presidential Recognition Award,2,1
383,Society for Pediatric Radiology,Presidential Recognition Award,2,0
384,Society for Pediatric Radiology,Presidential Recognition Award,2,0
385,Society for Pediatric Radiology,Presidential Recognition Award,1,1
386,Society for Pediatric Radiology,Presidential Recognition Award,2,0
387,Society for Pediatric Radiology,Presidential Recognition Award,2,2
388,Society for Pediatric Radiology,Honorary Members,0,0
389,Society for Pediatric Radiology,Honorary Members,0,1
390,Society for Pediatric Radiology,Honorary Members,0,1
391,Society for Pediatric Radiology,Honorary Members,1,0
392,Society for Pediatric Radiology,Honorary Members,1,1
393,Society for Pediatric Radiology,Honorary Members,0,1
394,Society for Pediatric Radiology,Honorary Members,0,1
395,Society for Pediatric Radiology,Honorary Members,0,1
396,Society for Pediatric Radiology,Honorary Members,1,0
397,Society for Pediatric Radiology,Honorary Members,1,1
398,Society for Pediatric Radiology,Honorary Members,1,1
399,Society for Pediatric Radiology,Honorary Members,1,2
400,Society for Pediatric Radiology,Honorary Members,0,0
401,Society for Pediatric Radiology,Honorary Members,0,0
402,Society for Pediatric Radiology,Honorary Members,0,1
403,Society for Pediatric Radiology,Honorary Members,0,0
404,Society for Pediatric Radiology,Honorary Members,1,1
405,Society for Pediatric Radiology,Honorary Members,1,1
406,Society for Pediatric Radiology,Honorary Members,1,1
407,Society for Pediatric Radiology,Honorary Members,1,1
408,Society for Pediatric Radiology,Honorary Members,1,0
409,Society for Pediatric Radiology,Honorary Members,2,0
410,Society for Pediatric Radiology,Honorary Members,1,0
411,Society for Pediatric Radiology,Honorary Members,1,0
412,Society for Pediatric Radiology,Honorary Members,2,0
413,Society for Pediatric Radiology,Honorary Members,1,0
414,Society for Pediatric Radiology,Honorary Members,1,1
415,Society for Pediatric Radiology,Honorary Members,1,1
416,Society for Pediatric Radiology,Honorary Members,1,0
417,Society for Pediatric Radiology,Honorary Members,1,0
418,Society for Pediatric Radiology,Honorary Members,1,1
419,Society for Pediatric Radiology,Honorary Members,1,0
420,Society for Pediatric Radiology,Honorary Members,1,0
421,Society for Pediatric Radiology,Honorary Members,1,0
422,Society for Pediatric Radiology,Honorary Members,0,0
423,Society for Pediatric Radiology,Honorary Members,0,0
424,Society for Pediatric Radiology,Honorary Members,2,0
425,Society for Pediatric Radiology,Honorary Members,1,1
426,Society for Pediatric Radiology,Honorary Members,1,0
427,Society for Pediatric Radiology,Honorary Members,2,2
428,Society for Pediatric Radiology,Honorary Members,1,0
429,Society for Pediatric Radiology,Honorary Members,1,0
430,Society for Pediatric Radiology,Honorary Members,1,1
431,Society for Pediatric Radiology,Honorary Members,1,0
432,Society for Pediatric Radiology,Honorary Members,1,0
433,Society for Pediatric Radiology,Honorary Members,1,0
434,Society for Pediatric Radiology,Honorary Members,1,1
435,Society for Pediatric Radiology,Honorary Members,1,0
436,Society for Pediatric Radiology,Honorary Members,1,1
437,Society for Pediatric Radiology,Honorary Members,1,1
438,Society for Pediatric Radiology,Honorary Members,1,0
439,Society for Pediatric Radiology,Honorary Members,1,1
440,Society for Pediatric Radiology,Honorary Members,1,1
441,Society for Pediatric Radiology,Honorary Members,1,1
442,Society for Pediatric Radiology,Honorary Members,2,0
443,Society for Pediatric Radiology,Honorary Members,1,2
444,Society for Pediatric Radiology,Honorary Members,1,0
445,Society for Pediatric Radiology,Honorary Members,1,1
446,Society for Pediatric Radiology,Honorary Members,1,0
447,Society for Pediatric Radiology,Honorary Members,2,0
448,Society for Pediatric Radiology,Honorary Members,1,0
449,Society for Pediatric Radiology,Honorary Members,1,0
450,Society for Pediatric Radiology,Honorary Members,1,0
451,Society for Pediatric Radiology,Honorary Members,0,0
452,Society for Pediatric Radiology,Honorary Members,1,0
453,Society for Pediatric Radiology,Honorary Members,1,1
454,Society for Pediatric Radiology,Honorary Members,1,1
455,Society for Pediatric Radiology,Honorary Members,1,1
456,Society for Pediatric Radiology,Honorary Members,2,0
457,Society for Pediatric Radiology,Honorary Members,0,1
458,Society for Pediatric Radiology,Honorary Members,2,0
459,Society for Pediatric Radiology,Honorary Members,2,0
460,Society for Pediatric Radiology,Honorary Members,1,0
461,Society for Pediatric Radiology,Honorary Members,1,0
462,Society for Pediatric Radiology,Honorary Members,1,0
463,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,1,0
464,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,2,0
465,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,2,1
466,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
467,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
468,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,1
469,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
470,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,1
471,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
472,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
473,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
474,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
475,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
476,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
477,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
478,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
479,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
480,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
481,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
482,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,1
483,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
484,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
485,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
486,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
487,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
488,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
489,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
490,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,2
491,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,0
492,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,1
493,Society for Pediatric Radiology,John Kirkpatrick Young Investigator Award,0,1
